Full Ref,Ref,%White,Cohort1,Cohort2,Cohort,Design1,Design2,Individuals,% White,Mean_age,Age_range,Age_group,Cohort_country1,Cohort_country2,Trait/disorder,Broad Trait/disorder,NDD/DICC,Binary/Continuous,Categorical/Continuous,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Rater1,Rater2,Covariate1,Covariate2,Covariate3,Design,Sex,Categorical/Continuous,Specific_phenotype,Specific_phenotype_category,Continuous_phenotype_category,rA,rA/rG_SE,rC,rC_SE,rE,rE_SE,Model
"Willcutt, E. G., McGrath, L. M., Pennington, B. F., Keenan, J. M., DeFries, J. C., Olson, R. K., & Wadsworth, S. J. (2019). Understanding comorbidity between specific learning disabilities. New directions for child and adolescent development, 2019(165), 91-109. ",Willcutt et al. (2019),No data,CLDRC,,CLDRC,Twin study,DFextremes,818,,,8-20y,Middle childhood & Adolescence,USA,Colorado,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,Qualitative Reading Inventory,Woodcock-Johnson III Tests of Achievement,Woodcock-Johnson III Tests of Achievement,,,,,,,,Not used,,,Family,Combined,Continuous,Reading comprehension & Calculations,Reading Comprehension & Calculations,Maths Ability & Reading Ability,0.51,0.03,,,,,DFAonly
"Willcutt, E. G., McGrath, L. M., Pennington, B. F., Keenan, J. M., DeFries, J. C., Olson, R. K., & Wadsworth, S. J. (2019). Understanding comorbidity between specific learning disabilities. New directions for child and adolescent development, 2019(165), 91-109. ",Willcutt et al. (2019),No data,CLDRC,,CLDRC,Twin study,DFextremes,818,,,8-20y,Middle childhood & Adolescence,USA,Colorado,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,Qualitative Reading Inventory,Woodcock-Johnson III Tests of Achievement,Woodcock-Johnson III Tests of Achievement,,,,,,,,Not used,,,Family,Combined,Continuous,Reading comprehension & Math fluency,Reading Comprehension & Math Fluency,Maths Ability & Reading Ability,0.71,0.02,,,,,DFAonly
"Willcutt, E. G., McGrath, L. M., Pennington, B. F., Keenan, J. M., DeFries, J. C., Olson, R. K., & Wadsworth, S. J. (2019). Understanding comorbidity between specific learning disabilities. New directions for child and adolescent development, 2019(165), 91-109. ",Willcutt et al. (2019),No data,CLDRC,,CLDRC,Twin study,DFextremes,818,,,8-20y,Middle childhood & Adolescence,USA,Colorado,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,Qualitative Reading Inventory,Woodcock-Johnson III Tests of Achievement,Woodcock-Johnson III Tests of Achievement,,,,,,,,Not used,,,Family,Combined,Continuous,Reading comprehension & Word problems,Reading Comprehension & Maths Problems,Maths Ability & Reading Ability,0.48,0.03,,,,,DFAonly
"Willcutt, E. G., Pennington, B. F., & DeFries, J. C. (2000). Twin study of the etiology of comorbidity between reading disability and attention‐deficit/hyperactivity disorder. American journal of medical genetics, 96(3), 293-301. ","Willcutt, Pennington & DeFries (2000)",85,CLDRC,,CLDRC,Twin study,DFextremes,313,,,8-16y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DICA,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,ADHD & Reading difficulties,ADHD & Reading Ability,ADHD Traits & Reading Ability,0.23,0.12,,,,,DFAonly
"Willcutt, E. G., Pennington, B. F., & DeFries, J. C. (2000). Twin study of the etiology of comorbidity between reading disability and attention‐deficit/hyperactivity disorder. American journal of medical genetics, 96(3), 293-301. ","Willcutt, Pennington & DeFries (2000)",85,CLDRC,,CLDRC,Twin study,DFextremes,313,,,8-16y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DICA,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,Hyperactivity & Reading difficulties,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,0.05,0.15,,,,,DFAonly
"Willcutt, E. G., Pennington, B. F., & DeFries, J. C. (2000). Twin study of the etiology of comorbidity between reading disability and attention‐deficit/hyperactivity disorder. American journal of medical genetics, 96(3), 293-301. ","Willcutt, Pennington & DeFries (2000)",85,CLDRC,,CLDRC,Twin study,DFextremes,313,,,8-16y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DICA,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,Inattention & Reading difficulties,Inattention & Reading Ability,ADHD Traits & Reading Ability,0.39,0.13,,,,,DFAonly
"Willcutt, E. G., Pennington, B. F., Olson, R. K., & DeFries, J. C. (2007). Understanding comorbidity: A twin study of reading disability and attention‐deficit/hyperactivity disorder. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 144(6), 709-714. ","Willcutt, Pennington, Olson & DeFries (2007)",No data,CLDRC,,CLDRC,Twin study,DFextremes,358,,,8-20y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DBRS,,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,ADHD & Reading,ADHD & Reading Ability,ADHD Traits & Reading Ability,0.63,0.05,,,,,DFAonly
"Willcutt, E. G., Pennington, B. F., Olson, R. K., & DeFries, J. C. (2007). Understanding comorbidity: A twin study of reading disability and attention‐deficit/hyperactivity disorder. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 144(6), 709-714. ","Willcutt, Pennington, Olson & DeFries (2007)",No data,CLDRC,,CLDRC,Twin study,DFextremes,358,,,8-20y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DBRS,,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,ADHD & Orthographic choice,ADHD & Orthographic Skills,ADHD Traits & Reading Ability,0.55,0.06,,,,,DFAonly
"Willcutt, E. G., Pennington, B. F., Olson, R. K., & DeFries, J. C. (2007). Understanding comorbidity: A twin study of reading disability and attention‐deficit/hyperactivity disorder. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 144(6), 709-714. ","Willcutt, Pennington, Olson & DeFries (2007)",No data,CLDRC,,CLDRC,Twin study,DFextremes,358,,,8-20y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DBRS,,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,ADHD & Phoneme awareness,ADHD & Phonological Skills,ADHD Traits & Reading Ability,0.43,0.06,,,,,DFAonly
"Willcutt, E. G., Pennington, B. F., Olson, R. K., & DeFries, J. C. (2007). Understanding comorbidity: A twin study of reading disability and attention‐deficit/hyperactivity disorder. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 144(6), 709-714. ","Willcutt, Pennington, Olson & DeFries (2007)",No data,CLDRC,,CLDRC,Twin study,DFextremes,358,,,8-20y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DBRS,,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,0.72,0.04,,,,,DFAonly
"Willcutt, E. G., Pennington, B. F., Olson, R. K., & DeFries, J. C. (2007). Understanding comorbidity: A twin study of reading disability and attention‐deficit/hyperactivity disorder. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 144(6), 709-714. ","Willcutt, Pennington, Olson & DeFries (2007)",No data,CLDRC,,CLDRC,Twin study,DFextremes,358,,,8-20y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DBRS,,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,Inattention & Orthographic choice,Inattention & Orthographic Skills,ADHD Traits & Reading Ability,0.71,0.04,,,,,DFAonly
"Willcutt, E. G., Pennington, B. F., Olson, R. K., & DeFries, J. C. (2007). Understanding comorbidity: A twin study of reading disability and attention‐deficit/hyperactivity disorder. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 144(6), 709-714. ","Willcutt, Pennington, Olson & DeFries (2007)",No data,CLDRC,,CLDRC,Twin study,DFextremes,358,,,8-20y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DBRS,,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,Inattention & Phoneme awareness,Inattention & Phonological Skills,ADHD Traits & Reading Ability,0.41,0.07,,,,,DFAonly
"Willcutt, E. G., Pennington, B. F., Olson, R. K., & DeFries, J. C. (2007). Understanding comorbidity: A twin study of reading disability and attention‐deficit/hyperactivity disorder. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 144(6), 709-714. ","Willcutt, Pennington, Olson & DeFries (2007)",No data,CLDRC,,CLDRC,Twin study,DFextremes,358,,,8-20y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DBRS,,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,Hyperactivity & Reading,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,0.4,0.07,,,,,DFAonly
"Willcutt, E. G., Pennington, B. F., Olson, R. K., & DeFries, J. C. (2007). Understanding comorbidity: A twin study of reading disability and attention‐deficit/hyperactivity disorder. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 144(6), 709-714. ","Willcutt, Pennington, Olson & DeFries (2007)",No data,CLDRC,,CLDRC,Twin study,DFextremes,358,,,8-20y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DBRS,,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,Hyperactivity & Orthographic choice,Hyperactivity & Orthographic Skills,ADHD Traits & Reading Ability,0.4,0.07,,,,,DFAonly
"Willcutt, E. G., Pennington, B. F., Olson, R. K., & DeFries, J. C. (2007). Understanding comorbidity: A twin study of reading disability and attention‐deficit/hyperactivity disorder. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 144(6), 709-714. ","Willcutt, Pennington, Olson & DeFries (2007)",No data,CLDRC,,CLDRC,Twin study,DFextremes,358,,,8-20y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,PIAT,DBRS,,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,Hyperactivity & Phoneme awareness,Hyperactivity & Phonological Skills,ADHD Traits & Reading Ability,0.37,0.07,,,,,DFAonly
"Wood, A. C., Rijsdijk, F., Asherson, P., & Kuntsi, J. (2009). Hyperactive-impulsive symptom scores and oppositional behaviours reflect alternate manifestations of a single liability. Behavior Genetics, 39(5), 447-460. ","Wood, Rijsdijk, Asherson & Kuntsi (2009)",100,TEDS,,TEDS,Twin study,Classical,1314,,8.83,,Middle childhood,UK,,ADHD & ODD,ADHD & ODD,DICC,Continuous,Continuous,Conners,DSM-4,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Inattention & ODD,Inattention & ODD,ADHD Traits & ODD Traits,0.58,0.02,0.99,0.51,0.57,0.02,FULL
"Wood, A. C., Rijsdijk, F., Asherson, P., & Kuntsi, J. (2009). Hyperactive-impulsive symptom scores and oppositional behaviours reflect alternate manifestations of a single liability. Behavior Genetics, 39(5), 447-460. ","Wood, Rijsdijk, Asherson & Kuntsi (2009)",100,TEDS,,TEDS,Twin study,Classical,1314,,8.83,,Middle childhood,UK,,ADHD & ODD,ADHD & ODD,DICC,Continuous,Continuous,Conners,DSM-4,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Hyperactivity & ODD,Hyperactivity & ODD,ADHD Traits & ODD Traits,0.94,0.003,0.99,0.51,0.98,0.001,FULL
"Bishop, D. V. (2002). Motor immaturity and specific speech and language impairment: Evidence for a common genetic basis. American journal of medical genetics, 114(1), 56-63. ",Bishop (2002),No data,Twin study in the UK,,Twin study in the UK,Twin study,DFextremes,158,,,7-13y,Childhood & Adolescence,UK,,SLI & Motor Disorder,CMD & MD,NDD,Continuous,Continuous,Tapping task,Clinical Evaluation ofLanguage Fundamentals,,,,,,,,,Age,,,Family,Combined,Continuous,Motor Control & Recalling Sentence,,Motor Disorder & Language Ability,0.17,0.31,,,,,DFAonly
"Bishop, D. V. (2002). Motor immaturity and specific speech and language impairment: Evidence for a common genetic basis. American journal of medical genetics, 114(1), 56-63. ",Bishop (2002),No data,Twin study in the UK,,Twin study in the UK,Twin study,DFextremes,158,,,7-13y,Childhood & Adolescence,UK,,SLI & Motor Disorder,CMD & MD,NDD,Continuous,Continuous,Tapping task,Renfrew Word Finding Scale,,,,,,,,,Age,,,Family,Combined,Continuous,Motor Control & Word Finding,,Motor Disorder & Language Ability,-0.26,0.46,,,,,DFAonly
"Bishop, D. V. (2002). Motor immaturity and specific speech and language impairment: Evidence for a common genetic basis. American journal of medical genetics, 114(1), 56-63. ",Bishop (2002),No data,Twin study in the UK,,Twin study in the UK,Twin study,DFextremes,158,,,7-13y,Childhood & Adolescence,UK,,SLI & Motor Disorder,CMD & MD,NDD,Continuous,Continuous,Tapping task,The Test for Reception of Grammar,,,,,,,,,Age,,,Family,Combined,Continuous,Motor Control & TROG,,Motor Disorder & Language Ability,0.46,0.41,,,,,DFAonly
"Bishop, D. V. (2002). Motor immaturity and specific speech and language impairment: Evidence for a common genetic basis. American journal of medical genetics, 114(1), 56-63. ",Bishop (2002),No data,Twin study in the UK,,Twin study in the UK,Twin study,DFextremes,158,,,7-13y,Childhood & Adolescence,UK,,SLI & Motor Disorder,CMD & MD,NDD,Continuous,Continuous,Tapping task,WISC,,,,,,,,,Age,,,Family,Combined,Continuous,Motor Control & Comprehension,,Motor Disorder & Language Ability,0.61,0.47,,,,,DFAonly
"Bishop, D. V. (2002). Motor immaturity and specific speech and language impairment: Evidence for a common genetic basis. American journal of medical genetics, 114(1), 56-63. ",Bishop (2002),No data,Twin study in the UK,,Twin study in the UK,Twin study,DFextremes,158,,,7-13y,Childhood & Adolescence,UK,,SLI & Motor Disorder,CMD & MD,NDD,Continuous,Continuous,Tapping task,Children's Nonword Repetition Test ,,,,,,,,,Age,,,Family,Combined,Continuous,Motor Control & Nonword repetition,,Motor Disorder & Language Ability,0.29,0.28,,,,,DFAonly
"Bishop, D. V. (2002). Motor immaturity and specific speech and language impairment: Evidence for a common genetic basis. American journal of medical genetics, 114(1), 56-63. ",Bishop (2002),No data,Twin study in the UK,,Twin study in the UK,Twin study,DFextremes,158,,,7-13y,Childhood & Adolescence,UK,,SLI & Motor Disorder,CMD & MD,NDD,Continuous,Continuous,Tapping task,EdinburghArticulation Test ,,,,,,,,,Age,,,Family,Combined,Continuous,Motor Control & Consonants,,Motor Disorder & Language Ability,0.71,0.41,,,,,DFAonly
"Gillis, J., DeFries, J., & Fulker, D. (1992). Confirmatory factor analysis of reading and mathematics performance: A twin study. Acta geneticae medicae et gemellologiae: twin research, 41(4), 287-300. ","Gillis, DeFries & Fulker (1992)",No data,Colorado Reading Project,,CRP,Twin study,Classical,892,,,School age,Childhood & Adolescence,USA,Colorado,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,PIAT,WISC-R,WAIS-R,,,,,,,,Not used,,,Family,Combined,Continuous,Reading Disability & Maths Disability,Maths Ability & Reading Ability,Maths Ability & Reading Ability,0.53,0.04,-0.13,0.06,0.1,0.06,FULL
"Gillis, J., DeFries, J., & Fulker, D. (1992). Confirmatory factor analysis of reading and mathematics performance: A twin study. Acta geneticae medicae et gemellologiae: twin research, 41(4), 287-300. ","Gillis, DeFries & Fulker (1992)",No data,Colorado Reading Project,,CRP,Twin study,Classical,892,,,School age,Childhood & Adolescence,USA,Colorado,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,PIAT,WISC-R,WAIS-R,,,,,,,,Not used,,,Family,Combined,Continuous,Reading Disability & Maths Disability,Maths Ability & Reading Ability,Maths Ability & Reading Ability,0.3,0.07,0.18,0.07,0.07,0.07,FULL
"Hur, Y.-M. (2015). Genetic and environmental etiology of the relationship between childhood hyperactivity/inattention and conduct problems in a South Korean twin sample. Twin Research and Human Genetics, 18(3), 290-297. ",Hur (2015),No data,South Korean Twin Registry (SKTR),,SKTR,Twin study,Classical,1014,,,6-13y,Childhood & Adolescence,South Korea,,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,SDQ,,,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,ADHD & CD,ADHD & CD,ADHD Traits & CD Traits,0.99,0.07,,,0.37,0.05,BEST
"Knopik, V. S., Alarcón, M., & DeFries, J. C. (1997). Comorbidity of mathematics and reading deficits: Evidence for a genetic etiology. Behavior Genetics, 27(5), 447-453. ","Knopik, Alarcon & DeFries (1997)",No data,CLDRC,,CLDRC,Twin study,DFextremes,358,,11.85,8-20y,Middle childhood & Adolescence,USA,Colorado,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,PIAT,,,,,,,,,,Age,,,Family,Combined,Continuous,Reading Disability & Maths Disability,Maths Ability & Reading Ability,Maths Ability & Reading Ability,0.27,0.13,,,,,DFAonly
"Knopik, V. S., Alarcón, M., & DeFries, J. C. (1997). Comorbidity of mathematics and reading deficits: Evidence for a genetic etiology. Behavior Genetics, 27(5), 447-453. ","Knopik, Alarcon & DeFries (1997)",No data,CLDRC,,CLDRC,Twin study,DFextremes,358,,11.85,8-20y,Middle childhood & Adolescence,USA,Colorado,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,PIAT,WRAT,,,,,,,,,Age,,,Family,Combined,Continuous,Reading Disability & Maths Disability,Maths Ability & Reading Ability,Maths Ability & Reading Ability,0.18,0.33,,,,,DFAonly
"Knopik, V. S., Heath, A. C., Bucholz, K. K., Madden, P. A., & Waldron, M. (2009). Genetic and environmental influences on externalizing behavior and alcohol problems in adolescence: a female twin study. Pharmacology Biochemistry and Behavior, 93(3), 313-321. ","Knopik, Heath, Bucholz, Madden & Waldron (2009)",No data,Missouri Adolescent Female Twin Study cohort,,Missouri Adolescent Female Twin Study cohort,Twin study,Classical,2892,,15.5,11-23y,Adolescence,USA,Missouri,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,DICA,,,,,,,,Parent,,Age,Adverse prenatal and parental factors (such as alcohol and smoking),,Family,Females,Continuous,Hyperactivity & CD,Hyperactivity & CD,ADHD Traits & CD Traits,0.31,0.02,,,0.05,0.03,BEST
"Knopik, V. S., Heath, A. C., Bucholz, K. K., Madden, P. A., & Waldron, M. (2009). Genetic and environmental influences on externalizing behavior and alcohol problems in adolescence: a female twin study. Pharmacology Biochemistry and Behavior, 93(3), 313-321. ","Knopik, Heath, Bucholz, Madden & Waldron (2009)",No data,Missouri Adolescent Female Twin Study cohort,,Missouri Adolescent Female Twin Study cohort,Twin study,Classical,2892,,15.5,11-23y,Adolescence,USA,Missouri,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,DICA,,,,,,,,Parent,,Age,Adverse prenatal and parental factors (such as alcohol and smoking),,Family,Females,Continuous,Inattention & CD,Inattention & CD,ADHD Traits & CD Traits,0.3,0.02,,,0.08,0.03,BEST
"Kovas, Y., Haworth, C., Harlaar, N., Petrill, S. A., Dale, P. S., & Plomin, R. (2007). Overlap and specificity of genetic and environmental influences on mathematics and reading disability in 10‐year‐old twins. Journal of child Psychology and Psychiatry, 48(9), 914-922. ","Kovas, Haworth, Harlaar, Petrill, Dale & Plomin (2007)",No data,TEDS,,TEDS,Twin study,DFextremes,5192,,,10y,Middle childhood,UK,,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,PIAT,,,,,,,,,,Age,Sex,,Family,Combined,Continuous,Maths & Reading,Maths Ability & Reading Ability,Maths Ability & Reading Ability,0.24,0.05,0.21,0.06,0.01,0.04,DFFULL
"Kovas, Y., Haworth, C., Harlaar, N., Petrill, S. A., Dale, P. S., & Plomin, R. (2007). Overlap and specificity of genetic and environmental influences on mathematics and reading disability in 10‐year‐old twins. Journal of child Psychology and Psychiatry, 48(9), 914-922. ","Kovas, Haworth, Harlaar, Petrill, Dale & Plomin (2007)",No data,TEDS,,TEDS,Twin study,DFextremes,5192,,,10y,Middle childhood,UK,,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,PIAT,,,,,,,,,,Age,Sex,,Family,Combined,Continuous,Maths & Reading,Maths Ability & Reading Ability,Maths Ability & Reading Ability,0.38,0.09,0.14,0.08,0.08,0.04,DFFULL
"Kovas, Y., Haworth, C., Harlaar, N., Petrill, S. A., Dale, P. S., & Plomin, R. (2007). Overlap and specificity of genetic and environmental influences on mathematics and reading disability in 10‐year‐old twins. Journal of child Psychology and Psychiatry, 48(9), 914-922. ","Kovas, Haworth, Harlaar, Petrill, Dale & Plomin (2007)",No data,TEDS,,TEDS,Twin study,Classical,5192,,,10y,Middle childhood,UK,,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,PIAT,,,,,,,,,,Age,Sex,,Family,Combined,Continuous,Maths & Reading,Maths Ability & Reading Ability,Maths Ability & Reading Ability,0.52,0.03,0.99,0.001,0.16,0.03,FULL
"Lee, S. H., Ripke, S., Neale, B. M., Faraone, S. V., Purcell, S. M., Perlis, R. H., . . . Witte, J. S. (2013). Genetic relationship between five psychiatric disorders estimated from genome-wide SNPs. Nature genetics, 45(9), 984. ",Lee et al. (2013),100,PGC,,PGC,GCTA study,REML,22934,,,7-12y,Childhood & Adolescence,European ancestry,,ADHD & ASD,ADHD & ASD,NDD,Binary,Categorical,ICD-10,,,,,,,,,,PCs,,,SNP,Combined,Categorical,ADHD & ASD,ADHD & ASD,ADHD & ASD,-0.13,0.09,,,,,
"Martin, N. C., Levy, F., Pieka, J., & Hay, D. A. (2006). A genetic study of attention deficit hyperactivity disorder, conduct disorder, oppositional defiant disorder and reading disability: Aetiological overlaps and implications. International Journal of Disability, Development and Education, 53(1), 21-34. ","Martin, Levy, Pieka & Hay (2006)",No data,ATAP,,ATAP,Twin study,Classical,4026,,13.4,5-16y,Childhood & Adolescence,Australia,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,ATBRS,RD Questionnaire,,,,,,,,,Sex,,,Family,Combined,Continuous,Inattention & Reading difficulties,Inattention & Reading Ability,ADHD Traits & Reading Ability,0.31,0.02,,,0.03,0.02,BEST
"Martin, N. C., Levy, F., Pieka, J., & Hay, D. A. (2006). A genetic study of attention deficit hyperactivity disorder, conduct disorder, oppositional defiant disorder and reading disability: Aetiological overlaps and implications. International Journal of Disability, Development and Education, 53(1), 21-34. ","Martin, Levy, Pieka & Hay (2006)",No data,ATAP,,ATAP,Twin study,Classical,4026,,13.4,5-16y,Childhood & Adolescence,Australia,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,ATBRS,RD Questionnaire,,,,,,,,,Sex,,,Family,Combined,Continuous,Hyperactivity & Reading difficulties,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,0.18,0.02,,,0.02,0.02,BEST
"Martin, N. C., Levy, F., Pieka, J., & Hay, D. A. (2006). A genetic study of attention deficit hyperactivity disorder, conduct disorder, oppositional defiant disorder and reading disability: Aetiological overlaps and implications. International Journal of Disability, Development and Education, 53(1), 21-34. ","Martin, Levy, Pieka & Hay (2006)",No data,ATAP,,ATAP,Twin study,Classical,4026,,13.4,5-16y,Childhood & Adolescence,Australia,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,ATBRS,RD Questionnaire,,,,,,,,,Sex,,,Family,Combined,Continuous,ADHD & Reading difficulties,ADHD & Reading Ability,ADHD Traits & Reading Ability,0.21,0.02,0.06,0.02,0.03,0.02,FULL
"Martin, N. C., Levy, F., Pieka, J., & Hay, D. A. (2006). A genetic study of attention deficit hyperactivity disorder, conduct disorder, oppositional defiant disorder and reading disability: Aetiological overlaps and implications. International Journal of Disability, Development and Education, 53(1), 21-34. ","Martin, Levy, Pieka & Hay (2006)",No data,ATAP,,ATAP,Twin study,Classical,4026,,13.4,5-16y,Childhood & Adolescence,Australia,,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,ATBRS,,,,,,,,,,Sex,,,Family,Combined,Continuous,Inattention & CD,Inattention & CD,ADHD Traits & CD Traits,0.35,0.02,,,0.02,0.02,BEST
"Martin, N. C., Levy, F., Pieka, J., & Hay, D. A. (2006). A genetic study of attention deficit hyperactivity disorder, conduct disorder, oppositional defiant disorder and reading disability: Aetiological overlaps and implications. International Journal of Disability, Development and Education, 53(1), 21-34. ","Martin, Levy, Pieka & Hay (2006)",No data,ATAP,,ATAP,Twin study,Classical,4026,,13.4,5-16y,Childhood & Adolescence,Australia,,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,ATBRS,,,,,,,,,,Sex,,,Family,Combined,Continuous,Hyperactivity & CD,Hyperactivity & CD,ADHD Traits & CD Traits,0.37,0.02,,,0.01,0.02,BEST
"Martin, N. C., Levy, F., Pieka, J., & Hay, D. A. (2006). A genetic study of attention deficit hyperactivity disorder, conduct disorder, oppositional defiant disorder and reading disability: Aetiological overlaps and implications. International Journal of Disability, Development and Education, 53(1), 21-34. ","Martin, Levy, Pieka & Hay (2006)",No data,ATAP,,ATAP,Twin study,Classical,4026,,13.4,5-16y,Childhood & Adolescence,Australia,,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,ATBRS,,,,,,,,,,Sex,,,Family,Combined,Continuous,ADHD & CD,ADHD & CD,ADHD Traits & CD Traits,0.34,0.02,0.06,0.02,0.02,0.02,FULL
"Martin, N. C., Levy, F., Pieka, J., & Hay, D. A. (2006). A genetic study of attention deficit hyperactivity disorder, conduct disorder, oppositional defiant disorder and reading disability: Aetiological overlaps and implications. International Journal of Disability, Development and Education, 53(1), 21-34. ","Martin, Levy, Pieka & Hay (2006)",No data,ATAP,,ATAP,Twin study,Classical,4026,,13.4,5-16y,Childhood & Adolescence,Australia,,ADHD & ODD,ADHD & ODD,DICC,Continuous,Continuous,ATBRS,,,,,,,,,,Sex,,,Family,Combined,Continuous,Inattention & ODD,Inattention & ODD,ADHD Traits & ODD Traits,0.45,0.02,,,0.41,0.02,BEST
"Martin, N. C., Levy, F., Pieka, J., & Hay, D. A. (2006). A genetic study of attention deficit hyperactivity disorder, conduct disorder, oppositional defiant disorder and reading disability: Aetiological overlaps and implications. International Journal of Disability, Development and Education, 53(1), 21-34. ","Martin, Levy, Pieka & Hay (2006)",No data,ATAP,,ATAP,Twin study,Classical,4026,,13.4,5-16y,Childhood & Adolescence,Australia,,ADHD & ODD,ADHD & ODD,DICC,Continuous,Continuous,ATBRS,,,,,,,,,,Sex,,,Family,Combined,Continuous,Hyperactivity & ODD,Hyperactivity & ODD,ADHD Traits & ODD Traits,0.42,0.02,0.06,0.02,0.38,0.02,FULL
"Martin, N. C., Levy, F., Pieka, J., & Hay, D. A. (2006). A genetic study of attention deficit hyperactivity disorder, conduct disorder, oppositional defiant disorder and reading disability: Aetiological overlaps and implications. International Journal of Disability, Development and Education, 53(1), 21-34. ","Martin, Levy, Pieka & Hay (2006)",No data,ATAP,,ATAP,Twin study,Classical,4026,,13.4,5-16y,Childhood & Adolescence,Australia,,ADHD & ODD,ADHD & ODD,DICC,Continuous,Continuous,ATBRS,,,,,,,,,,Sex,,,Family,Combined,Continuous,ADHD & ODD,ADHD & ODD,ADHD Traits & ODD Traits,0.41,0.02,0.12,0.02,0.3,0.02,FULL
